VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.419635,space,11.885515,1,1,5.578915,0,0,0,1,1,Headphone/t1_2.wav,1,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,3.97777,0,1,1,2,1,Headphone/t2_1.wav,2,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.459875,0,2,2,3,1,Headphone/t2_2.wav,2,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.19037,0,3,3,0,1,Headphone/t1_1.wav,1,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.340835,0,4,4,4,1,Headphone/t3_1.wav,3,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.342575,0,5,5,5,1,Headphone/t3_2.wav,3,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,space,24.859275,space,10.768305,space,14.021675,2,1,16.20037,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.53383,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,2.585705,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.59412,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,7.105435,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_E.wav,2,3,NEW,C,space,12.043565,2,1,5.727785,0,0,0,0,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_E.wav,2,3,NEW,C,,,2,1,0.569395,0,1,1,1,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_A.wav,2,3,NEW,C,,,2,1,0.908695,0,2,2,2,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,C,,,2,1,1.10048,0,3,3,3,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/IceDrop.wav,2,3,NEW,C,,,2,1,0.86675,0,4,4,4,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,C,,,2,1,0.501125,0,5,5,5,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_G.wav,2,3,NEW,C,,,2,1,0.5294,0,6,6,6,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,C,,,2,1,0.24325,0,7,7,7,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Slurp.wav,2,3,NEW,C,,,2,1,0.93635,0,8,8,8,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_A.wav,2,2,SIMILAR,C,,,1,0,2.29393,0,9,9,9,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,C,,,2,1,0.69663,0,10,10,10,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,C,,,2,1,0.452275,0,11,11,11,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,2,3,NEW,C,,,2,1,0.178185,0,12,12,12,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,C,,,2,1,1.279355,0,13,13,13,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_B.wav,2,3,NEW,C,,,2,1,0.433945,0,14,14,14,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,1,1,OLD,C,,,2,0,2.35786,0,15,15,15,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,C,,,2,1,0.00063,0,16,16,16,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bubbles_B.wav,2,2,SIMILAR,C,,,1,0,7.591475,0,17,17,17,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_C.wav,2,3,NEW,C,,,2,1,1.469295,0,18,18,18,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Duck_A.wav,2,3,NEW,C,,,2,1,0.46037,0,19,19,19,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,C,,,2,1,0.72384,0,20,20,20,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,2,3,NEW,C,,,2,1,0.869795,0,21,21,21,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,1,1,OLD,C,,,2,0,1.2541,0,22,22,22,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,1,1,OLD,C,,,1,1,0.52399,0,23,23,23,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Camera.wav,2,3,NEW,C,,,2,1,0.39767,0,24,24,24,1,,
,,,,,,,,,,,,,,5eef2ef1485fb3000809324c,2021-03-21_17h09.46.060,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_H.wav,2,2,SIMILAR,C,,,1,0,4.339385,0,25,25,25,1,,
