VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,7.110385,space,83.640095,1,1,1.89709,0,0,0,1,1,Headphone/t1_2.wav,1,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.040465,0,1,1,0,1,Headphone/t1_1.wav,1,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,2.034755,0,2,2,3,1,Headphone/t2_2.wav,2,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,4.63528,0,3,3,2,1,Headphone/t2_1.wav,2,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.73177,0,4,4,4,1,Headphone/t3_1.wav,3,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.75175,0,5,5,5,1,Headphone/t3_2.wav,3,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,space,41.57359,space,12.573625,space,5.40322,2,1,7.28825,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,22.641375,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,3.268275,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f4fa3bf5e8dec0806153507,2021-03-21_17h06.01.549,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.98955,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
