VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,11.421275,space,11.956845,3,1,5.01933,0,0,0,5,1,Headphone/t3_2.wav,3,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.455535,0,1,1,0,1,Headphone/t1_1.wav,1,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.492865,0,2,2,2,1,Headphone/t2_1.wav,2,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.419755,0,3,3,3,1,Headphone/t2_2.wav,2,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.310755,0,4,4,4,1,Headphone/t3_1.wav,3,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.64814,0,5,5,1,1,Headphone/t1_2.wav,1,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,space,18.89924,space,14.64739,space,8.58708,2,1,4.34902,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.71946,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,2.37053,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.88303,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.600775,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Elephant_C.wav,2,3,NEW,A,space,8.24605,2,1,2.62826,0,0,0,0,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,2,3,NEW,A,,,2,1,0.601705,0,1,1,1,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,A,,,2,1,0.392565,0,2,2,2,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,A,,,2,1,0.65457,0,3,3,3,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Typing.wav,2,3,NEW,A,,,2,1,0.81372,0,4,4,4,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Pour_B.wav,2,3,NEW,A,,,2,1,0.41821,0,5,5,5,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Sleighbells_B.wav,2,3,NEW,A,,,2,1,0.88765,0,6,6,6,1,,
,,,,,,,,,,,,,,,2021-03-20_02h14.20.601,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Buzz.wav,2,3,NEW,A,,,2,1,0.54366,0,7,7,7,1,,
