WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles2,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,5.755515,space,2.884705,thunder,0,0,0,43,1,Initial/NoRepeat/Thunder_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,a car reving its engine,0,1,1,28,1,Initial/Doubled/CarStart_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,toilet flushing,0,2,2,40,1,Initial/NoRepeat/Toilet_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,emergency siren,0,3,3,53,1,Siren_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,pouring a fizzy drink,0,4,4,52,1,Pour_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,heartbeat,0,5,5,22,1,Test/Foils/Heartbeat.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,whistling,0,6,6,29,1,Initial/Repeat/ManWhistle.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,bird chirping,0,7,7,63,1,Bird_C.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,lion roar,0,8,8,18,1,Initial/Doubled/Growl_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,analog clock alarm,0,9,9,44,1,Initial/Doubled/Cuckoo_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,cough,0,10,10,76,1,Cough_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,tap water running,0,11,11,36,1,Initial/NoRepeat/Faucet_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,cough,0,12,12,38,1,Initial/Doubled/Cough_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,cow moo,0,13,13,46,1,Initial/NoRepeat/Cow.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,airplane ,0,14,14,10,1,Initial/Repeat/Airplane_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,emergency siren,0,15,15,54,1,Siren_C.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog bark,0,16,16,68,1,Dog_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,gargling ,0,17,17,47,1,Initial/Doubled/Gargle_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog bark,0,18,18,32,1,Initial/Doubled/Dog_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,fireworks,0,19,19,5,1,Initial/NoRepeat/Fireworks.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,snoring,0,20,20,15,1,Initial/NoRepeat/Snore_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,slurping,0,21,21,31,1,Test/Foils/Slurp.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,taking a photo,0,22,22,9,1,Test/Foils/Camera.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby speaking,0,23,23,58,1,Baby_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,chicken,0,24,24,17,1,Initial/Doubled/Chicken_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby crying,0,25,25,16,1,Test/Foils/Donkey.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog bark,0,26,26,69,1,Dog_C.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,27,27,2,1,Initial/Doubled/Piano_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,emergency siren,0,28,28,55,1,Siren_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,someone walking on stairs in shoes,0,29,29,14,1,Initial/NoRepeat/Footsteps_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,tearing paper,0,30,30,21,1,Test/Foils/PaperRip.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,dial tone,0,31,31,27,1,Test/Foils/DialTone.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,coughing,0,32,32,74,1,Cough_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,laughter,0,33,33,60,1,Laugh_C.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,frog ribbit,0,34,34,19,1,Test/Foils/Bullfrog.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,chewing something crunchy,0,35,35,33,1,Initial/Doubled/Chomp_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,chewing something crunchy,0,36,36,73,1,Chomp_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,pouring water,0,37,37,50,1,Pour_C.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,duck quack,0,38,38,23,1,Initial/NoRepeat/Duck_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,audience laugh track,0,39,39,59,1,Laugh_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,dog bark,0,40,40,70,1,Dog_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,trumpet,0,41,41,49,1,Initial/Repeat/Trumpet_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,applause,0,42,42,41,1,Initial/Doubled/Clap_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,cat meow,0,43,43,37,1,Initial/Doubled/Cat_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,laughter,0,44,44,34,1,Initial/Doubled/Laugh_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,jingle bells,0,45,45,35,1,Initial/NoRepeat/Sleighbells_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,bird chirping,0,46,46,62,1,Bird_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,air horn,0,47,47,7,1,Test/Foils/Airhorn.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,vibrating phone,0,48,48,8,1,Test/Foils/Buzz.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,writing on chalkboard,0,49,49,4,1,Initial/Doubled/Writing_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,propeller in the air,0,50,50,39,1,Initial/NoRepeat/Helicopter_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,bird chirp,0,51,51,64,1,Bird_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,piano,0,52,52,77,1,Piano_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,car starting,0,53,53,65,1,CarStart_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,bell ringing,0,54,54,26,1,Initial/Doubled/Chime_A.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,baby crying,0,55,55,13,1,Initial/NoRepeat/Baby_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,icecubes falling into glass,0,56,56,3,1,Initial/Repeat/IceDrop.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,car starting,0,57,57,67,1,CarStart_D.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,water dripping,0,58,58,0,1,Initial/NoRepeat/Droplet_B.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,wolf howling,0,59,59,45,1,Initial/Repeat/Howl.wav,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,,,,,,a50,001,2021-01-05_12h55.57.456,GuessTheSound,2020.2.10,Win32,60,space,8.885905
